,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
1004,New Construction Plan,,Condo/Co-op,Plan 4E,Point Richmond,CA,94801,1166220,3.0,2.5,Waterline,2625.0,,,,444.0,,Active,,,http://www.redfin.com/CA/Richmond/Waterline/Plan-4E/home/169870251,NewHomeSource.com,Plan-101616418,N,Y,37.9094029,-122.3755674
1005,New Construction Plan,,Condo/Co-op,Plan 4D,Point Richmond,CA,94801,1001220,3.0,2.5,Waterline,2296.0,,,,436.0,,Active,,,http://www.redfin.com/CA/Richmond/Waterline/Plan-4D/home/169870252,NewHomeSource.com,Plan-101616417,N,Y,37.9094029,-122.3755674
1006,New Construction Plan,,Condo/Co-op,Plan 4A,Point Richmond,CA,94801,945360,2.0,2.5,Waterline,2391.0,,,,395.0,,Active,,,http://www.redfin.com/CA/Richmond/Waterline/Plan-4A/home/169870253,NewHomeSource.com,Plan-101616416,N,Y,37.9094029,-122.3755674
1007,New Construction Plan,,Condo/Co-op,Plan 2C,Point Richmond,CA,94801,1585526,3.0,3.5,Waterline,2986.0,,,,531.0,,Active,,,http://www.redfin.com/CA/Richmond/Waterline/Plan-2C/home/169870254,NewHomeSource.com,Plan-101616415,N,Y,37.9094029,-122.3755674
1008,New Construction Plan,,Condo/Co-op,Plan 2B,Point Richmond,CA,94801,1479580,3.0,2.5,Waterline,2911.0,,,,508.0,,Active,,,http://www.redfin.com/CA/Richmond/Waterline/Plan-2B/home/169870250,NewHomeSource.com,Plan-101616414,N,Y,37.9094029,-122.3755674
1009,New Construction Plan,,Single Family Residential,Places Residence 3,Richmond,CA,94804,815990,3.0,2.5,NOMA,1742.0,,,,468.0,,Active,,,http://www.redfin.com/CA/Richmond/NOMA/Places-Residence-3/home/146079261,NewHomeSource.com,Plan-101504050,N,Y,37.920406,-122.354314
1010,Redfin Data,,Single Family Residential,504 Bridge View Ct,Richmond,CA,94801,995000,3.0,2.5,Richmond,2487.0,3367.0,2004.0,1.0,400.0,165.0,Pre On-Market,,,http://www.redfin.com/CA/Richmond/504-Bridge-View-Ct-94801/home/2102841,Coming Soon,48679,N,Y,37.9106951,-122.3733223
1011,Redfin Data,,Single Family Residential,4457 Queensboro Way,Union City,CA,94587,799777,3.0,2.0,Union City,1120.0,5000.0,1970.0,2.0,714.0,,Pre On-Market,,,http://www.redfin.com/CA/Union-City/4457-Queensboro-Way-94587/home/1262695,Coming Soon,48684,N,Y,37.5886296,-122.0778191
1012,MLS Listing,,Single Family Residential,341 Monaco Ave,Union City,CA,94587,888888,4.0,2.0,7 Hills,1584.0,5475.0,1963.0,1.0,561.0,,Active,,,http://www.redfin.com/CA/Union-City/341-Monaco-Ave-94587/home/1418467,Bridge MLS,40893019,N,Y,37.5951939,-122.0020692
1013,MLS Listing,,Single Family Residential,528 Jonathan Way,Union City,CA,94580,719950,3.0,3.0,Union City,1376.0,7140.0,1958.0,1.0,523.0,,Active,January-25-2020 12:00 AM,January-25-2020 11:59 PM,http://www.redfin.com/CA/Union-City/528-Jonathan-Way-94587/home/1978539,Bridge MLS,40892981,N,Y,37.6084529,-122.0218998
1014,MLS Listing,,Condo/Co-op,2930 Flint St #103,Union City,CA,94587,558000,2.0,2.0,Sugar Springs,908.0,,1986.0,1.0,615.0,270.0,Active,,,http://www.redfin.com/CA/Union-City/2930-Flint-St-94587/unit-103/home/1019455,Bridge MLS,40892959,N,Y,37.6039495,-122.0701511
1015,MLS Listing,,Townhouse,33487 Alvarado Niles Rd,UNION CITY,CA,94587,966595,4.0,3.5,UNION CITY,2129.0,1513.0,2020.0,2.0,454.0,334.0,Active,January-25-2020 11:00 AM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Union-City/33487-Alvarado-Niles-Rd-94587/home/168821599,MLSListings,ML81779602,N,Y,37.5908475,-122.0366028
1016,MLS Listing,,Single Family Residential,2457 Cameron Dr,Union City,CA,94587,925000,3.0,2.0,Westview Estates,1720.0,6200.0,1968.0,5.0,538.0,,Active,,,http://www.redfin.com/CA/Union-City/2457-Cameron-Dr-94587/home/991576,Bridge MLS,40892672,N,Y,37.6007207,-122.0541362
